Series Name,Series Code,Country Name,Country Code,2012 [YR2012]
Population growth (annual %),SP.POP.GROW,"Macedonia, FYR",MKD,0.16357298821843
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.79671093972952
Population growth (annual %),SP.POP.GROW,Malawi,MWI,3.06305957030848
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.55909296321426
Population growth (annual %),SP.POP.GROW,Maldives,MDV,1.81412131614855
Population growth (annual %),SP.POP.GROW,Mali,MLI,2.98098557494676
Population growth (annual %),SP.POP.GROW,Malta,MLT,0.762696599023741
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,0.231930448819915
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.51601414262101
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.277321025514609
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.4071495144712
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,0.0386488371510987
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-0.0131188896045369
Population growth (annual %),SP.POP.GROW,Monaco,MCO,0.576463194637812
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,1.76980891849007
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,0.0841474080023094
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.38052420554849
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.82189810279192
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.799532281009548
Population growth (annual %),SP.POP.GROW,Namibia,NAM,2.27221620103119
Population growth (annual %),SP.POP.GROW,Nepal,NPL,1.17513955527782
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.370055034770235
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,1.56253179030808
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,0.548220797298334
Population growth (annual %),SP.POP.GROW,Nicaragua,NIC,1.18526095820849
Population growth (annual %),SP.POP.GROW,Niger,NER,3.98694686495837
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.69268373284324
Population growth (annual %),SP.POP.GROW,Northern Mariana Islands,MNP,0.150167089074287
Population growth (annual %),SP.POP.GROW,Norway,NOR,1.31344098868985
Population growth (annual %),SP.POP.GROW,Oman,OMN,9.93204475863661
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,2.12084736871807
Population growth (annual %),SP.POP.GROW,Palau,PLW,0.725306598261685
Population growth (annual %),SP.POP.GROW,Panama,PAN,1.66403417351215
Population growth (annual %),SP.POP.GROW,Papua New Guinea,PNG,2.17156801187023
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,1.34775977436034
Population growth (annual %),SP.POP.GROW,Peru,PER,1.3314146175279
Population growth (annual %),SP.POP.GROW,Philippines,PHL,1.59157306573233
Population growth (annual %),SP.POP.GROW,Poland,POL,-0.000239076003298365
Population growth (annual %),SP.POP.GROW,Portugal,PRT,-0.405421787747567
Population growth (annual %),SP.POP.GROW,Puerto Rico,PRI,-1.21408734682618
Population growth (annual %),SP.POP.GROW,Qatar,QAT,5.62174462810365
Population growth (annual %),SP.POP.GROW,Romania,ROM,-0.445177936198383
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,0.168301590750173
Population growth (annual %),SP.POP.GROW,Rwanda,RWA,2.44162683912427
Population growth (annual %),SP.POP.GROW,Samoa,WSM,0.779628485577476
Population growth (annual %),SP.POP.GROW,San Marino,SMR,0.753505416684141
Population growth (annual %),SP.POP.GROW,Sao Tome and Principe,STP,2.17378933060089
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,2.42824061643758
Population growth (annual %),SP.POP.GROW,Senegal,SEN,3.11852864040974
Population growth (annual %),SP.POP.GROW,Serbia,SRB,-0.485299545092705
Population growth (annual %),SP.POP.GROW,Seychelles,SYC,0.980980190128322
Population growth (annual %),SP.POP.GROW,Sierra Leone,SLE,2.24655147431771
Population growth (annual %),SP.POP.GROW,Singapore,SGP,2.45246235389098
Population growth (annual %),SP.POP.GROW,Sint Maarten (Dutch part),SXM,3.54058281882925
Population growth (annual %),SP.POP.GROW,Slovak Republic,SVK,0.170183855326072
Population growth (annual %),SP.POP.GROW,Slovenia,SVN,0.210024305900448
Population growth (annual %),SP.POP.GROW,Solomon Islands,SLB,2.11894090111294
Population growth (annual %),SP.POP.GROW,Somalia,SOM,2.28796843459542
Population growth (annual %),SP.POP.GROW,South Africa,ZAF,1.51735849256521
Population growth (annual %),SP.POP.GROW,South Sudan,SSD,4.37933811842944
Population growth (annual %),SP.POP.GROW,Spain,ESP,0.0649259625617232
Population growth (annual %),SP.POP.GROW,Sri Lanka,LKA,..
Population growth (annual %),SP.POP.GROW,St. Kitts and Nevis,KNA,1.22272920856574
Population growth (annual %),SP.POP.GROW,St. Lucia,LCA,0.89514380171451
Population growth (annual %),SP.POP.GROW,St. Martin (French part),MAF,1.11736635283587
Population growth (annual %),SP.POP.GROW,St. Vincent and the Grenadines,VCT,-0.00640219504048757
Population growth (annual %),SP.POP.GROW,Sudan,SDN,2.12850183954679
Population growth (annual %),SP.POP.GROW,Suriname,SUR,0.968852816204413
Population growth (annual %),SP.POP.GROW,Swaziland,SWZ,1.57407535830761
Population growth (annual %),SP.POP.GROW,Sweden,SWE,0.739763272434863
Population growth (annual %),SP.POP.GROW,Switzerland,CHE,1.06181932886789
Population growth (annual %),SP.POP.GROW,Syrian Arab Republic,SYR,1.67652943924961
Population growth (annual %),SP.POP.GROW,Tajikistan,TJK,2.25710120734508
Population growth (annual %),SP.POP.GROW,Tanzania,TZA,3.18024411960534
Population growth (annual %),SP.POP.GROW,Thailand,THA,0.389614385271226
Population growth (annual %),SP.POP.GROW,Timor-Leste,TMP,2.5176820602427
Population growth (annual %),SP.POP.GROW,Togo,TGO,2.69555434712383
Population growth (annual %),SP.POP.GROW,Tonga,TON,0.360488244237759
Population growth (annual %),SP.POP.GROW,Trinidad and Tobago,TTO,0.507330234470042
Population growth (annual %),SP.POP.GROW,Tunisia,TUN,0.966848702117276
Population growth (annual %),SP.POP.GROW,Turkey,TUR,1.22186365749016
Population growth (annual %),SP.POP.GROW,Turkmenistan,TKM,1.28934655520654
Population growth (annual %),SP.POP.GROW,Turks and Caicos Islands,TCA,2.19158669406544
Population growth (annual %),SP.POP.GROW,Tuvalu,TUV,0.162403608573458
Population growth (annual %),SP.POP.GROW,Uganda,UGA,3.27408587776378
Population growth (annual %),SP.POP.GROW,Ukraine,UKR,-0.247099230432045
Population growth (annual %),SP.POP.GROW,United Arab Emirates,ARE,2.46313972142663
Population growth (annual %),SP.POP.GROW,United Kingdom,GBR,0.695315842711388
Population growth (annual %),SP.POP.GROW,United States,USA,0.763927409799426
